,Magnitude,,,,,,Time,,,,,
subject,C1,C2,C3,C4,C5,C6,C1,C2,C3,C4,C5,C6
sj_135_3A,12553.590900000005,7135.7342,99.32990000000001,6556.777,160.8739,6776.610200000005,507.2760283946991,228.0791699886322,13.088405132293701,252.31841206550598,10.001391172409058,243.28333139419556
sj_133_1A,11820.94269999999,37930.79609999998,29526.720400000057,21590.42910000001,45268.87679999996,21440.6173,426.8598258495331,1543.8299477100372,1066.1647021770477,792.9374575614929,1817.5236284732819,892.0290172100067
sj_127_1A,74.5017,131.0727,264.4863,1180.0107000000005,1206.9836999999998,673.9097,1.6122758388519287,5.452394485473633,9.42501425743103,34.470438957214355,29.778271913528442,14.689058065414429
sj_130_4A,656.4727,145.9589,646.1486999999998,913.4259000000002,244.4851,449.2193,22.332370281219482,7.509052753448486,20.72429656982422,15.57210087776184,8.729517459869385,19.98487114906311
sj_126_6A,6874.9706999999935,63.69719999999999,0.0,1062.2091999999998,1125.9562999999998,371.9093,244.74462866783142,6.144434213638306,0.0,40.87838530540466,38.96200656890869,14.559507369995117
sj_132_6A,7416.3633,260.3296,4836.4915000000055,1824.4014000000002,6353.218199999999,2250.261,305.9554100036621,4.470199346542358,189.71210718154907,36.16344928741455,287.96932101249695,54.48722839355469
sj_129_3A,1886.0348999999997,1558.6239000000007,2823.4728000000005,5407.835800000003,527.9658999999999,2558.6875999999997,43.5328483581543,43.953269720077515,40.32933712005615,149.7410535812378,12.551605701446533,79.35681939125061
sj_134_2A,5759.2352,0.0,453.5912000000001,1521.2134999999994,5484.870499999998,0.0,238.51719498634338,0.0,9.622782468795776,41.00239276885986,214.93682265281677,0.0
sj_119_5A,11.316,902.1379999999999,96.344,393.5620000000001,286.35400000000004,3052.9615999999996,0.2910196781158447,48.26810956001282,1.545727252960205,27.850449085235596,10.059565305709839,79.86485958099365
sj_108_6A,8191.8632,441.001,8649.71290000001,842.3888,12033.750900000015,4868.7323,331.2464654445648,19.14072036743164,303.54613065719604,23.50848913192749,471.1853265762329,141.39717817306519
sj_113_5A,3526.570000000002,8.9811,0.0,0.0,869.5608000000002,56.25099999999999,167.35756397247314,0.6609857082366943,0.0,0.0,24.95265007019043,5.7221949100494385
sj_109_1A,12003.06169999999,11506.629699999989,4283.6188999999995,15676.33639999999,28509.396299999997,3040.5127999999995,514.9853229522705,462.5691771507263,215.01055359840393,732.8302562236786,1172.399491071701,107.05581307411194
sj_076_4A,8.0808,0.0,0.0,0.0,0.0,0.0,0.6857514381408691,0.0,0.0,0.0,0.0,0.0
sj_125_5A,43.685300000000005,717.9677999999999,80.7689,12148.6768,12609.421500000002,21010.482600000018,4.7168731689453125,24.580150842666626,9.319722652435303,537.0756983757019,419.269859790802,792.4541532993317
sj_120_6A,1865.0764000000006,6551.826400000004,5249.691899999999,138.5531,697.7217999999999,1000.1476999999999,64.18824195861816,172.0859706401825,171.61652445793152,7.513582706451416,36.90764307975769,43.43488812446594
sj_114_6A,9.4856,0.0,8.176,442.39579999999995,651.0232000000001,2985.538500000001,0.6884932518005371,0.0,0.6948709487915039,5.532205104827881,19.366830587387085,126.91733241081238
sj_083_5A,2115.4646000000007,3250.7701000000006,711.6119,6018.393200000001,283.84999999999997,8311.173099999995,56.59118294715881,71.96435332298279,16.68563485145569,139.2921507358551,5.4953694343566895,386.60770654678345
sj_117_3A,1844.3945999999999,1397.1666999999995,1141.5395,4767.406000000003,1230.3429000000003,8786.439699999994,68.7064528465271,70.7559883594513,80.56381344795227,153.00187468528748,93.12379360198975,337.55600452423096
sj_118_4A,2293.5797999999995,3302.113499999999,3879.281700000001,2255.8646000000003,1965.4709,146.7508,59.70287322998047,83.7312638759613,118.04616451263428,47.02866077423096,53.144633769989014,2.5206804275512695
sj_121_1A,0.0,0.0,327.38230000000004,201.63209999999998,0.0,0.0,0.0,0.0,6.756037473678589,4.456043243408203,0.0,0.0
sj_051_3A,118.7468,0.0,0.0,35.0242,87.5899,0.0,2.3271143436431885,0.0,0.0,9.742587804794312,1.632988452911377,0.0
sj_111_3A,2764.5362999999998,74.6854,51.605500000000006,497.69370000000004,1762.3472999999997,13014.880899999995,55.739790201187134,1.6374588012695312,0.4857480525970459,30.07560968399048,48.378050327301025,257.3986351490021
sj_056_1A,215.41450000000003,65.0451,221.4962,4996.730499999996,10679.072999999991,2030.082,2.247035503387451,2.6141703128814697,2.49442458152771,85.14404296875,159.3036949634552,22.95169234275818
sj_138_6A,7812.347199999995,253.31940000000003,6316.9167999999945,489.74299999999994,8198.2493,6024.932099999994,184.01312828063965,3.9205849170684814,148.94694089889526,16.939550638198853,221.2604284286499,134.53409075737
sj_068_2A,3683.127500000002,27.2076,1884.9324999999997,3951.9206000000004,0.0,8514.766400000006,82.43399858474731,0.29411911964416504,28.307795524597168,119.60715055465698,0.0,231.02954030036926
sj_137_5A,5.0895,0.0,0.0,0.0,167.08749999999998,1609.9926,0.31113624572753906,0.0,0.0,0.0,5.849599838256836,30.255407094955444
sj_047_5A,0.0,0.0,0.0,106.5197,0.0,300.4334,0.0,0.0,0.0,1.247316598892212,0.0,3.2882392406463623
sj_107_5A,981.2317999999999,440.5197,1454.6371000000001,4300.415599999998,360.69320000000005,1935.5959000000005,12.764424085617065,6.032288074493408,19.98785138130188,79.71560955047607,3.4173429012298584,29.590100049972534
sj_112_4A,129.57209999999998,1932.1205000000004,1503.0736999999992,150.7362,7338.319500000001,24.3111,8.450418710708618,35.17770767211914,27.035892009735107,10.504931211471558,103.07398438453674,0.2893805503845215
sj_069_3A,1180.5964000000004,1184.2519000000002,12.2827,14.694099999999999,171.7677,16.0745,16.85243844985962,18.955498933792114,0.7372498512268066,0.4697144031524658,2.32657790184021,0.5796849727630615
sj_046_4A,4673.163099999999,1788.1263999999996,3713.6519000000026,0.0,1133.1863999999996,796.9843000000002,71.86302542686462,34.09630060195923,70.7002580165863,0.0,29.149800539016724,9.803712368011475
sj_050_2A,0.0,0.0,0.0,0.0,0.0,64.0363,0.0,0.0,0.0,0.0,0.0,2.0495951175689697
sj_003_3A,15277.261500000006,4782.458899999998,10.3824,8356.4916,3515.0300999999986,8895.691100000005,175.2498745918274,66.78533554077148,0.2599060535430908,126.35377049446106,54.9321174621582,86.50404214859009
sj_055_1A,0.0,28.5344,0.0,0.0,1398.0692,189.27720000000005,0.0,0.27188658714294434,0.0,0.0,34.198373556137085,11.072486639022827
